[sf_disc_aug] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_disc_aug] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,684,618 params
  SF disc aug: λ=0.5
----------------------------------------------------------------------
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 134/300 | D=-0.2999 G=5.8784 SF=0.0206 | frob=4.6712 (best=4.4569) | 33.5s
Epoch 135/300 | D=-0.2969 G=6.1353 SF=0.0229 | frob=4.9814 (best=4.4569) | 33.2s
Epoch 136/300 | D=-0.3008 G=5.9799 SF=0.0260 | frob=4.7809 (best=4.4569) | 33.5s
Epoch 137/300 | D=-0.3068 G=6.2067 SF=0.0230 | frob=4.7854 (best=4.4569) | 33.4s
Epoch 138/300 | D=-0.2973 G=6.2675 SF=0.0210 | frob=4.6264 (best=4.4569) | 33.0s
Epoch 139/300 | D=-0.3009 G=6.1775 SF=0.0194 | frob=4.7203 (best=4.4569) | 34.5s
Epoch 140/300 | D=-0.2988 G=6.1199 SF=0.0213 | frob=4.7938 (best=4.4569) | 32.4s
Epoch 141/300 | D=-0.3002 G=6.0324 SF=0.0212 | frob=4.5861 (best=4.4569) | 33.2s
Epoch 142/300 | D=-0.3087 G=6.1124 SF=0.0183 | frob=4.3554 (best=4.4569) | 32.5s
Epoch 143/300 | D=-0.3121 G=6.0347 SF=0.0222 | frob=4.8985 (best=4.3554) | 32.1s
Epoch 144/300 | D=-0.2870 G=6.2091 SF=0.0268 | frob=4.4245 (best=4.3554) | 29.9s
Epoch 145/300 | D=-0.3082 G=6.1156 SF=0.0199 | frob=4.6713 (best=4.3554) | 18.4s
Epoch 146/300 | D=-0.3007 G=5.9578 SF=0.0192 | frob=4.6102 (best=4.3554) | 18.8s
Epoch 147/300 | D=-0.3052 G=5.8731 SF=0.0203 | frob=4.5234 (best=4.3554) | 18.4s
Epoch 148/300 | D=-0.3086 G=6.0857 SF=0.0193 | frob=4.5385 (best=4.3554) | 18.6s
Epoch 149/300 | D=-0.3016 G=6.0175 SF=0.0213 | frob=4.9568 (best=4.3554) | 18.5s
Epoch 150/300 | D=-0.3086 G=5.8954 SF=0.0194 | frob=4.5158 (best=4.3554) | 18.5s
Epoch 151/300 | D=-0.3106 G=5.9482 SF=0.0185 | frob=4.6544 (best=4.3554) | 18.4s
Epoch 152/300 | D=-0.3104 G=5.7494 SF=0.0202 | frob=4.5668 (best=4.3554) | 18.6s
